"COLLECTION_ID","SHORT_NAME","LONG_NAME","TYPE","DESCRIPTION"
"53","JASON-1_SENSOR_GEOPHYSICAL_DATA_RECORD_NETCDF","Jason-1 Sensor Geophysical Data Record (SGDR) NetCDF","PRODUCT","SGDR files contain full accuracy altimeter data, with a high precision orbit (accuracy ~2.5 cm), provided approximately 35 days after data collection. The instruments on Jason-1 make direct observations of the following quantities: altimeter range, significant wave height, ocean radar backscatter cross-section (a measure of wind speed), ionospheric electron content (derived by a simple formula), tropospheric water content, mean sea surface, and position relative to the GPS satellite constellation. The SGDR contain all relevant corrections needed to calculate the sea surface height. It also contains the waveforms that are required for retracking."
"54","JASON-1_INTERIM_SENSOR_GEOPHYSICAL_DATA_RECORD_NETCDF","Jason-1 Interim Sensor Geophysical Data Record (SGDR) NetCDF","PRODUCT","SGDR files contain full accuracy altimeter data, with a high precision orbit (accuracy ~2.5 cm), provided approximately 35 days after data collection. The instruments on Jason-1 make direct observations of the following quantities: altimeter range, significant wave height, ocean radar backscatter cross-section (a measure of wind speed), ionospheric electron content (derived by a simple formula), tropospheric water content, mean sea surface, and position relative to the GPS satellite constellation. The SGDR contain all relevant corrections needed to calculate the sea surface height. It also contains the waveforms that are required for retracking."
"55","JASON-1_SEA_SURFACE_HEIGHT_ANOMALY","Jason-1 Sea Surface Height Anomaly (SSHA)","PRODUCT","The Jason-1 Sea Surface Height Anomaly product is generated from the Jason-1 Geophysical Data Record (J1 GDR). There are 127 orbits per cycle and each orbit has a period of 112 minutes. The ground track of the orbits are about 315 km apart at the equator. Along track measurements are approximately 1 sec and 6 km apart. Each orbit is composed of 2 passes, one ascending from -66 deg to +66 deg latitude and the other descending from +66 deg to - 66 deg. The passes are organized this way to avoid data boundaries in the middle of the oceans. All odd-numbered passes are ascending and all even-numbered passes are descending. It is organized as 10 day repeat cycles containing a maximum of 254 pass files per cycle, the same as the J1 GDR. There is a one to one correspondence between the SSHA and J1 GDR cycles and pass files. Each pass file of the SSHA consists of header records followed by data records containing 11 parameters: 
time of record in days and milliseconds, latitude, longitude, sea surface height anomaly, significant wave height, inverse barometer, sigma0, total electron content of the atmosphere, ocean depth, and mean sea surface. It is swath data and no images are provided with this product. The Sea Surface Height Anomaly, the principal parameter in this product, represents the difference between the best estimate of the sea surface height and a mean sea surface. The sea surface height used was corrected for atmospheric effects (ionosphere, wet and dry troposphere), effects due to surface conditions (electromagnetic bias), and other contributions (ocean tides, pole tide, and inverse barometer). Because some users may want to provide their own values for the mean sea surface and inverse barometer effect, the values used in calculating this SSHA are included in the data product."
"56","JASON-1_TURBO_ROGUE_SPACE_RECEIVER","Jason-1 Turbo Rogue Space Receiver (TRSR)","PRODUCT","TBD"
"57","OCO","Orbiting Carbon Observatory","PROJECT","This collection references all of the datasets associated with the OCO project."
"58","QUIKSCAT","Quick Scatterometer","PROJECT","This collection references all of the datasets associated with the QuikSCAT project."
"59","QUIKSCAT_ANCILLARY","SeaWinds on QuikSCAT Ancillary Data Record","PRODUCT","Contains the full Ancillary dataset relevant to the SeaWinds on QuikSCAT Scatterometer Mission, which include all Level Processor input, excecpt for the primary input files, used to derive the science data products."
"60","QSCAT_L0_RAW_SCIENCE","SeaWinds on QuikSCAT Level 0 Raw Science Data","PRODUCT","SeaWinds on QuikSCAT Level 0 Raw Science Data contains the mission telemetry data subsetted into multiple files. Telemetry is derived from the Command and Data Subsystem (CDS). Each 100-pulse telemetry frame is contained in three consecutive telemetry packets. Level 0 processing checks for bad or missing packets and assembles the corresponding packet triplets into frame-records and assigns a frame quality flag. Three critical sets of information are included: UTC time correlation, GPS state vectors (spacecraft ephemeris), and spacecraft attitude. For more information, please visit: ftp://podaac.jpl.nasa.gov/ocean_wind/quikscat/L2B/doc/QSUG_v3.pdf"
"61","QSCAT_L0_RAW_TELEMETRY","SeaWinds on QuikSCAT Level 0 Raw Telemetry Data Record","PRODUCT","SeaWinds on QuikSCAT Level 0 Raw Telemetry Data Record includes all of the mission-critical Level 0 telemetry data stored into a single flat binary file. Two files are generated: one containing the valid telemetry data and the other containing bad or missing telemetry data. For more information, please visit: ftp://podaac.jpl.nasa.gov/ocean_wind/quikscat/L2B/doc/QSUG_v3.pdf"
"62","QSCAT_L1A_ENGINEERING_UNIT_CONVERTED_TELEMETRY","SeaWinds on QuikSCAT Level 1A Engineering Unit Converted Telemetry","PRODUCT","The SeaWinds on QuikSCAT Level 1A dataset contains the UTC time tagging of science telemetry frames, assignment of ephemeris and attitude information to each frame, sensor data as converted to engineering units, and calibration pulse data. For more information, please visit: ftp://podaac.jpl.nasa.gov/ocean_wind/quikscat/L2B/doc/QSUG_v3.pdf"
"66","QSCAT_L2B_OCEAN_WIND_25KM","SeaWinds on QuikSCAT Level 2B 25km Ocean Wind Vectors","PRODUCT","The SeaWinds on QuikSCAT Level 2B product provides ocean wind vectors in 25 km wind vector cell (WVC) swaths in single orbit files. The local time at the equator for the ascending node is 0600 +/- 30 minutes; the local time at the equator for the descending node is 1800 +/- 30 minutes. Wind vectors are accurate to within 2 m/s (vector speed) and 20 degrees (vector direction). Rain flags are provided for each wind vector cell to assist in identifying potential rain contamination. Wind vectors are set to a value of '0' when within 30 km of land/ice boundaries or where there is ambiguous or non-existent measurements available. This data utilizes the recalibrated model function called the QSCAT-1/F13 processing algorithm, adopted in July of 2006. Quality Assurance files are also included to verify the quality of the L2B processing. For more information, please refer to the user's guide: ftp://podaac.jpl.nasa.gov/ocean_wind/quikscat/L2B/doc/QSUG_v3.pdf"
"67","QSCAT_L2B_OCEAN_WIND_12.5KM","SeaWinds on QuikSCAT L2B Ocean Wind Vectors in 12.5km Slice Composites","PRODUCT","The SeaWinds on QuikSCAT Level 2B product provides ocean wind vectors in 12.5 km wind vector cell (WVC) slice composites in single-orbit files. The local time at the equator for the ascending node is 0600 +/- 30 minutes; the local time at the equator for the descending node is 1800 +/- 30 minutes. Wind vectors are accurate to within 2 m/s (vector speed) and 20 degrees (vector direction). Rain flags are provided for each wind vector cell to assist in identifying potential rain contamination. Wind vectors are set to a value of '0' when within 20 km of land/ice boundaries or where there is ambiguous or non-existent measurements available.. This data utilizes the recalibrated model function called the QSCAT-1/F13 processing algorithm, adopted in July of 2006. Quality Assurance files are also included to verify the quality of the L2B processing. For more information, please refer to the user's guide: ftp://podaac.jpl.nasa.gov/ocean_wind/quikscat/L2B12/doc/QSUG_v3.pdf"
"68","QSCAT_L3","SeaWinds on QuikSCAT Level 3 Daily Gridded Ocean Wind Vectors","PRODUCT","The SeaWinds on QuikSCAT Level 3 ocean vector winds on a 0.25 degree grid contains daily data from ascending and descending passes; where multiple passes occur over a given point, the most recent pass over-writes the earlier (adjacent) pass. The local time at the equator for the ascending node is 0600 +/- 30 minutes; the local time at the equator for the descending node is 1800 +/- 30 minutes. Wind vectors are accurate to within 2 m/s (vector speed) and 20 degrees (vector direction). Rain flags are provided for each wind vector cell to assist in identifying potential rain contamination. Wind vectors are set to a value of '0' when within 30 km of land/ice boundaries or where there is ambiguous or non-existent measurements available. This data utilizes the recalibrated model function called the QSCAT-1/F13 processing algorithm, adopted in July of 2006. For more information, please refer to the user's guide: ftp://podaac.jpl.nasa.gov/ocean_wind/quikscat/L3/doc/qscat_l3.pdf"
"69","JPL_DAAC_OCEAN_SRF_PARAM","Monthly Mean Global Surface Ocean Variables (Halpern et al.)","PRODUCT","This data consists of monthly mean averages of global sea surface temperature, sea surface height, significant wave height, chlorophyll-a concentration, surface wind speed, surface wind velocity and near-surface current. Please note that the years over whi"
"70","ATLAS DEALIASED SASS","Seasat scatterometer global dealiased surface wind vectors (Atlas)","PRODUCT","Contains wind speeds and directions derived from the Seasat-A Scatterometer (SASS), presented chronologically by swath for the period between 7 July 1978 and 10 October 1978. Robert Atlas et al. (1987) produced this product using an objective ambiguity removal scheme to dealias the wind vector data binned at 100 km cells, which were calculated by Frank Wentz (see PO.DAAC product 29). For more information, please refer to: ftp://podaac.jpl.nasa.gov/pub/ocean_wind/seasat/wind/swath_Atlas/doc/Readme_002.html"
"71","ATLAS SSM/I GRIDDED MONTHLY AND PENTAD SURFACE WIND VECTOR ANALYSES","SSM/I-DERIVED GRIDDED 5-DAY AND MONTHLY AVERAGED NEAR-SURFACE WIND VECTOR ANALYSES (Atlas et al.)","PRODUCT","Product currently retired due to superseded versions. To learn more about this product as well as newer versions, please contact PO.DAAC user services at podaac@podaac.jpl.nasa.gov"
"72","ATLAS SSM/I ECMWF HEAT FLUXES","SSM/I derived global heat and momentum fluxes (Atlas, Jusem, Ardizzone)","PRODUCT","Contains sensible and latent heat fluxes and wind stress vector components. Wind vectors resulting from variational analysis of SSM/I wind speeds were combined with surface temperature and moisture data from ECMWF to calculate fluxes at the air-sea interface. For more information, please refer to: ftp://podaac.jpl.nasa.gov/pub/documents/dataset_docs/ssmi_flux.html"
"73","ATLAS SSM/I GRIDDED DAILY AND 6-HOURLY SURFACE WIND VECTOR ANALYSES","SSM/I surface-wind vectors at SSM/I locations and as gridded analysis (Atlas)","PRODUCT","Product currently retired due to superseded versions. To learn more about this product as well as newer versions, please contact PO.DAAC user services at podaac@podaac.jpl.nasa.gov"
"74","CARSEY SEASAT SASS","Seasat scatterometer polar gridded daily sigma-0 statistics (Carsey, Pihos)","PRODUCT","Contains gridded daily Sigma-0 measurements and statistics from the Seasat-A Scatterometer (SASS) over the north and south polar regions. Statistics include mean, standard deviation, number of samples, minimums, and maximums for each of the 12 SASS measurement channels. For more information, please refer to: ftp://podaac.jpl.nasa.gov/pub/documents/dataset_docs/seasat_sigma0_carsey.html"
"75","CARSEYSMMR","Seasat SMMR polar gridded brightness temperature statistics (Carsey, Pihos)","PRODUCT","This data set contains Seasat Scanning Multichannel Microwave Radiometer (SMMR) antenna-pattern corrected (APC) brightness temperature data over both polar regions for the entire Seasat mission (7 July - 10 October 1978)."
"77","SSM/I global gridded water vapor corrections for Geosat altimeter data (Emery)","SSM/I global gridded water vapor corrections for Geosat altimeter data (Emery)","PRODUCT","REMOVED FROM BLUEBOOK. Was USO_PROD_REF_NUMBER 009. DIF EMERYSSMI(DELETED)"
"78","TOVS global gridded water-vapor corrections for Geosat altimeter data (Emery)","TOVS global gridded water-vapor corrections for Geosat altimeter data (Emery)","PRODUCT","REMOVED FROM BLUEBOOK. Was USO_PROD_REF_NUMBER 010. DIF EMERYTOVS(DELETED)"
"79","GEOS_3","Geos-3 altimeter geophysical data record ""75-""78","PRODUCT","This data set consists of Geos-3 altimeter measurements produced by NOAA/NODC/Laboratory for Satellite Altimetry. The data include sea surface heights and supporting information such as sea state, wind speed, Schwiderski ocean tide height, and Cartwright s"
"80","JPL_DAAC_GEOSAT_NDBC","Geosat altimeter geophysical parameters colocated with NDBC Buoy Data (Glazman)","PRODUCT","The data consist of selected Geosat altimeter measurements colocated with measurements from 22 buoys at fixed locations. Measurements derived from Geosat consist of the radar cross section, wind speed, and significant wave height. Measurements from the buo"
"81","UCLA DEALIASED SASS","Seasat scatterometer global gridded dealiased wind vectors (JPL-UCLA-AES)","PRODUCT","Contains reprocessed ocean wind vectors derived from the Seasat-A Scatterometer (SASS) provided on a global 1-degree by 1-degree grid. Data are binned every six hours. For more information, please refer to: ftp://podaac.jpl.nasa.gov/pub/documents/dataset_docs/seasat_windcomp_jpl.html"
"82","JPL_DAAC_SFC_THERML_FORCNG","SMMR, GOES-W VISSR Tropical Pacific surface thermal forcing parameters (Liu)","PRODUCT","The product consists of surface latent heat flux, surface solar irradiance and net heat flux for January 1980 to September 1983. The data are provided for the tropical Pacific Ocean."
"83","Seasat altimeter sensor data record level 1a ""78","Seasat altimeter sensor data record level 1a ""78","PRODUCT","This data set contains Level 1a engineering parameters such as satellite height, waveform data, wave height and automatic gain control.These are primary parameters telemetered to the ground processing system at a 10/second rate and are uncorrected for envi"
"84","Seasat altimeter sensor data record level 1b ""78","Seasat altimeter sensor data record level 1b ""78","PRODUCT","None."
"85","SEASAT_ALTIMETER_2","Seasat altimeter geophysical data record level 2 ""78","PRODUCT","The Seasat Altimeter GDRs contain satellite sensor data that have been processed through the sensor and geophysical algorithms. Measurements include the altitude between the satellite and the ocean surface, significant wave height, and sigma-naught, i.e.,"
"86","SEASAT_SASS_LEVEL_1A","SEASAT SCATTEROMETER LEVEL 1A ENGINEERING DATA RECORD (JPL, 1978)","PRODUCT","Contains the Seasat-A Scatterometer (SASS) sensor data converted to engineering units in time-ordered telemetry frames."
"87","SEASAT_SASS_LEVEL_1B","SEASAT SCATTEROMETER LEVEL 1B SIGMA-0, SCIENCE DATA RECORD (JPL, 1978)","PRODUCT","Contains the Seasat-A Scatterometer (SASS) Sigma-0 measurements in geo-located telemetry frames."
"88","SEASAT_SASS_LEVEL_2","SEASAT SCATTEROMETER LEVEL 2 SIGMA-0,  GEOPHYSICAL DATA RECORD (JPL, 1978)","PRODUCT","Contains the Seasat-A Scatterometer (SASS) Sigma-0 measurements and the corresponding wind speed estimates provided with four possible wind direction ambiguities. More detailed documentation for this product is currently under restoration."
"89","Seasat scanning multichannel microwave radiometer sensor data record level 1b","Seasat scanning multichannel microwave radiometer sensor data record level 1b","PRODUCT","None."
"1","GHRSST","Global High-Resolution Sea Surface Temperature (GHRSST)","PROJECT","This collection references all of the datasets associated with the GHRSST project."
"4","GHRSST Level 4 Denmark DMI North Sea Baltic SST","GHRSST L4 Foundation Sea Surface Temperature analysis for the North Sea and Baltic Sea","PRODUCT","The L4 analysis is based upon nighttime GHRSST L2P subskin SST observations from several satellites and instruments such as: AMSRE, ATS_NR_2P, AVHRR18_G, AVHRR17_NAR, AVHRR18_NAR and SEVIRI. The ice field from the Swedish and Finnish ice services is used to mask out areas with ice. Besides SST, the data contain an estimated error standard deviation of the analysed SSTs and a sea/land/lake/ice field composite mask."
"14","GHRSST Level 2P European Medspiration SEVIRI SST","Sea Surface Temperature (SST-sub-skin) Low and Mid Latitudes (LML), 100W - 45E and 60N - 60S, at 0.1 degree resolution from MSG SEVIRI","PRODUCT","SST calculated from the IR channels of MSG at full resolution on a hourly basis. Remapping is made by space averaging, the production of the 3-hourly data is made by averaging over time the SSTs having the best confidence level. Data from distinct satellites are not averaged together. L2P data products are then derived following the GHRSST-PP Data Processing Specification (GDS) version 1.5 avaialable from http://ghrsst-pp.metoffice.com/documents/GDS-v1.0-rev1.5.pdf.  Single Sensor Error Statistics (SSES) are provided based on the GDS-v1.5 specification."
"15","GHRSST Level 2P European Medspiration TMI SST","L2P Sea Surface Temperature (SST-sub-skin) from gridded Tropical Rainfall Mapping Mission (TRMM) Microwave Imager (TMI) Remote Sensing Systems BMAPS","PRODUCT","GHRSST-PP L2P data derived using Remote Sensing Systems BMAPS format TMI SSTsub-skin data.  Data are downloaded form Remote Sensing Systems every hour to capture the latest TMI observations.  L2P data products are then derived following the GHRSST-PP Data Processing Specification (GDS) version 1.5 avaialable from http://ghrsst-pp.metoffice.com/documents/GDS-v1.0-rev1.5.pdf.  Single Sensor Error Statistics (SSES) are provided based on the GDS-v1.5 specification."
"16","GHRSST Level 4 European Medspiration ODYSSEA Global SST","GHRSST Mersea Global L4 ODYSSEA merged SST","PRODUCT","The ODYSSEA Global Sea Surface Temperature is a GHRSST Level 4 product produced at Ifremer/CERSAT (France). It provides a daily cloud-free global field of foundation sea surface temperature at 10km resolution (0.1 degree) over the full globe. It is generated by merging all available satellite sensors for sea surface temperature (micro-wave and infra-red), after careful intercalibration using AATSR sensor as reference (previously re-calibrated using all available in situ data). The development of the global real-time sea surface temperature at Ifremer/CERSAT is supported by European Commission (GMES framework) initially in the frame of MERSEA project. PO.DAAC, through the GHRSST Global Data Assembly Center (http://ghrsst.jpl.nasa.gov) acts as a global distribution node for all GHRSST L4 products in conjunction with the NOAA Longterm Stewardship and Reanalysis Facility (LTSRF; http://ghrsst.nodc.noaa.gov). More information on 
GHRSST can be found here: http://www.ghrsst-pp.org/."
"17","GHRSST Level 4 European Medspiration ODYSSEA Mediterranean SST","Analysed L4 foundation sea surface temperature in Mediterranean Sea","PRODUCT","The ODYSSEA Mediterranean  Sea Surface Temperature is produced at Ifremer/CERSAT. It provides a daily cloud-free field of foundation sea surface temperature at 2 km resolution (0.02 degree). It is generated by merging all available satellite sensors for sea surface temperature (micro-wave and infra-red), after careful intercalibration using AATSR sensor as reference (previously re-calibrated using all available in situ data). The development of this real-time sea surface temperature at Ifremer/CERSAT is supported by ESA initially in the frame of Medspiration project."
"19","GHRSST Level 4 European Medspiration ODYSSEA NW Europe SST","Analysed L4 foundation sea surface temperature over North-Western European shelves","PRODUCT","The ODYSSEA North-West Europe Shelves Sea Surface Temperature is produced at Ifremer/CERSAT. It provides a daily cloud-free field of foundation sea surface temperature at 2 km resolution (0.02 degree). It is generated by merging all available satellite sensors for sea surface temperature (micro-wave and infra-red), after careful intercalibration using AATSR sensor as reference (previously re-calibrated using all available in situ data). The development of this real-time sea surface temperature at Ifremer/CERSAT is supported by ESA initially in the frame of Medspiration project."
"22","GHRSST Level 2P USA NAVOCEANO AVHRR17 Global SST","Bulk Sea Surface Temperature from the NOAA-17 POES Advanced Very High Resolution Radiometer, 8.8 km resolution, 14 orbits per day, global, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","PRODUCT","Multi-Channel SST retreivals generated in real-time from NOAA-17 AVHRR Global Area Coverage data.  Used operationally in Navy oceanographic analyses and forecasts."
"23","GHRSST Level 2P USA NAVOCEANO AVHRR17 Local SST","Bulk Sea Surface Temperature from the NOAA-17 POES Advanced Very High Resolution Radiometer, 2.2 km resolution, regional coverage, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","PRODUCT","Multi-Channel SST retreivals generated in real-time from NOAA-17 AVHRR Local Area Coverage data.  Used operationally in Navy oceanographic analyses and forecasts."
"24","GHRSST Level 2P USA NAVOCEANO AVHRR18 Global SST","Bulk Sea Surface Temperature from the NOAA-18 POES Advanced Very High Resolution Radiometer, 8.8 km resolution, 14 orbits per day, global, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","PRODUCT","Multi-Channel SST retreivals generated in real-time from NOAA-18 AVHRR Global Area Coverage data.  Used operationally in Navy oceanographic analyses and forecasts."
"26","GHRSST Level 2P USA NAVOCEANO AVHRR METOP-A Global SST","Bulk Sea Surface Temperature from the METOP-A Advanced Very High Resolution Radiometer, 8.8 km resolution, 14 orbits per day, global, beginning in the year 2007, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","PRODUCT","Multi-Channel SST retreivals generated in real-time from METOP-A AVHRR Global Area Coverage data.  Used operationally in Navy oceanographic analyses and forecasts."
"27","GHRSST Level 4 USA NAVOCEANO K10_SST Global SST","GHRSST Level 4 USA NAVOCEANO K10_SST Global SST","PRODUCT","K10 L4 sea surface temperature analysis produced daily on an operational basis at the Naval Oceanographic Office using a weighted average of AVHRR, GVAR, and AMSRE SST retrievals.  Pathfinder 9km climatology is used when no new satellite SST retrievals are available after 34 days.  The age, reliability, and resolution of the data are used in the weighted average.  AMSRE L2P data are provided by Remote Sensing Systems, USA."
"28","GHRSST_NCDC_GLOB_L4_AVHRR_AMSR_OI_SST","GHRSST NCDC Global L4 AVHRR _AMSR_OI merged SST","PRODUCT","A GHRSST L4 sea surface temperature analysis produced daily at the NOAA National Climatic Data Center using optimal interpolation from AVHRR Pathfinder Version 5 data (http://pathfinder.nodc.noaa.gov) (when available, otherwise operational AVHRR data are used) and in situ ship and buoy observations. A second
 similar product is available that also includes AMSR-E data from June 2002 onward. To avoid a jump in the analysis and to provide the longest, most consistent time series, this product uses only the AVHRR Pathfinder and in situ data. The OI analysis is a daily average SST that is bias adjusted using a spatially smoothed 7-day in situ SST average. Both day and night satellite fields are independently adjusted. More information is available at http://www.ncdc.noaa.gov/oa/climate/research/sst/oi-daily.php.PO.DAAC, through the GHRSST Global Data Assembly Center (http://ghrsst.jpl.nasa.gov) acts as a global distribution node for all GHRSST L4 products in conjunction with the NOAA Longterm Stewardship and Reanalysis Facility (LTSRF; http://ghrsst.nodc.noaa.gov). More information on GHRSST can be found here: http://www.ghrsst-pp.org/."
"29","GHRSST_NCDC_GLOB_L4_AVHRR_OI_SST","GHRSST NCDC Global L4 AVHRR _OI  merged SST","PRODUCT","A GHRSST L4 sea surface temperature analysis produced daily at the NOAA National Climatic Data Center using optimal interpolation from AVHRR Pathfinder Version 5 data (http://pathfinder.nodc.noaa.gov) (when available, otherwise operational AVHRR data are used) and in situ ship and buoy observations. A second similar product is available that also includes AMSR-E data from June 2002 onward. To avoid a jump in the analysis and to provide the longest, most consistent time series, this product uses only the AVHRR Pathfinder and in situ data. The OI analysis is a daily average SST that is bias adjusted using a spatially smoothed 7-day in situ SST average. Both day and night satellite fields are independently adjusted. More information is available at http://www.ncdc.noaa.
gov/oa/climate/research/sst/oi-daily.php. PO.DAAC, through the GHRSST Global Data Assembly Center (http://ghrsst.jpl.nasa.gov) acts as a global distribution node for all GHRSST L4 products in conjunction with the NOAA Longterm Stewardship and Reanalysis Facility (LTSRF; http://ghrsst.nodc.noaa.gov).More information on GHRSST can be found here: http://www.ghrsst-pp.org/."
"30","GHRSST Level 2P NEODAAS AVHRR17 Local SST","GHRSST Level 2P NEODAAS AVHRR17 Local SST","PRODUCT","The production of these AVHRR L2P data is a NEODAAS activity in collaboration with the UK National Centre for Ocean Forecasting (NCOF). NEODAAS-Dundee acquires approx. 15 AVHRR HRPT passes per day over NW Europe and Arctic, each approx. 15 minutes duration. These are immediately transferred to NEODAAS-Plymouth where they are processed into SST products and converted to L2P."
"31","GHRSST Level 2P NEODAAS AVHRR18 Local SST","GHRSST Level 2P NEODAAS AVHRR18 Local SST","PRODUCT","The production of these AVHRR L2P data is a NEODAAS activity in collaboration with the UK National Centre for Ocean Forecasting (NCOF). NEODAAS-Dundee acquires approx. 15 AVHRR HRPT passes per day over NW Europe and Arctic, each approx. 15 minutes duration. These are immediately transferred to NEODAAS-Plymouth where they are processed into SST products and converted to L2P."
"32","GHRSST Level 2P USA NAVOCEANO GOES11 SST","Sea Surface Temperature, 180W-110W and 60N-45S, at 0.05 degree resolution from GOES-11 Imager","PRODUCT","SST calculated from the IR channels of GOES-11 at full resolution on a half hourly basis. In raw satellite projection, vertically adjacent pixels averaged and read out at every pixel. L2P data products are then derived following the GHRSST-PP Data Processing Specification (GDS) version 1.5 available from http://ghrsst-pp.metoffice.com/documents/GDS-v1.0-rev1.5.pdf.  Single Sensor Error Statistics (SSES) are provided based on the GDS-v1.5 specification."
