"DATASET_ID","CATEGORY","TOPIC","TERM","VARIABLE","VARIABLE_DETAIL"
"155","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","Telemetry Data","Consolidated Raw Telemetry Data"
"157","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SIGMA-0","SIGMA-0"
"158","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SIGMA NAUGHT",""
"159","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"160","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","10 Meter Ocean Surface Wind Vector Components"
"162","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"173","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","10 Meter Ocean Surface Wind Speed"
"174","EARTH_SCIENCE","UNKNOWN","UNKNOWN","CLOUD LIQUID WATER/ICE",""
"174","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"174","EARTH_SCIENCE","UNKNOWN","UNKNOWN","HUMIDITY",""
"175","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"177","EARTH_SCIENCE","Atmosphere","Atmospheric Winds","SURFACE WINDS","10 Meter Ocean Surface Wind Speed"
"178","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"178","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"179","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"179","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"179","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"179","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WIND STRESS",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SALINITY",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SILICATE",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","TRACE ELEMENTS",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","PHOSPHATE",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WATER TEMPERATURE",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","OXYGEN",""
"180","EARTH_SCIENCE","UNKNOWN","UNKNOWN","NITRATE",""
"181","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SURFACE WINDS",""
"182","EARTH_SCIENCE","OCEANS","OCEAN TEMPERATURE","SEA SURFACE TEMPERATURE","none"
"183","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"185","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"185","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SALINITY",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SILICATE",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","WATER TEMPERATURE",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","NITRATE",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","TRACE ELEMENTS",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","PHOSPHATE",""
"187","EARTH_SCIENCE","UNKNOWN","UNKNOWN","OXYGEN",""
"188","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"188","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"189","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE TEMPERATURE",""
"194","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"195","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"196","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"197","EARTH_SCIENCE","Oceans","Sea Surface Topography","SEA SURFACE HEIGHT","none"
"198","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"199","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"200","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"201","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"202","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"203","EARTH_SCIENCE","UNKNOWN","UNKNOWN","SEA SURFACE HEIGHT",""
"1","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature"
"2","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature"
"3","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature"
"4","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature"
"5","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature (SSTsub-skin)"
"6","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Skin Sea Surface Temperature"
"7","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"8","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"9","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"10","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"11","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"12","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"13","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"14","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"15","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"16","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"17","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"18","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature"
"19","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"20","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature (SSTfnd)"
"21","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature (SSTfnd)"
"22","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature (SSTfnd)"
"23","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature (SSTfnd)"
"24","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sea Surface Skin Temperature (SSTskin)"
"25","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sea Surface Skin Temperature (SSTskin)"
"26","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Skin Sea Surface Temperature (SSTskin)"
"27","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Skin Sea Surface Temperature (SSTskin)"
"28","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"29","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"30","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Bulk Sea Surface Temperature"
"31","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature (SSTfnd)"
"32","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"33","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"34","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Optimum Interpolated Sea Surface Temperature"
"35","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Foundation Sea Surface Temperature (SSTfnd)"
"36","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Optimum Interpolated Sea Surface Temperature"
"37","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Optimum Interpolated Sea Surface Temperature"
"38","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Skin Sea Surface Temperature (SSTskin)"
"39","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature (SSTsub-skin)"
"40","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature (SSTsub-skin)"
"41","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature (SSTsub-skin)"
"42","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"19","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"19","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"19","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"19","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"19","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"19","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"19","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"32","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"32","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"32","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"32","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"32","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"32","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"33","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"33","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"33","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"33","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"33","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"33","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"43","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Optimum Interpolated Sea Surface Temperature"
"42","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"42","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"42","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"42","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"42","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"42","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","none"
"44","Earth Science","Oceans","Ocean Temperature","Sea Surface Temperature","Sub-skin Sea Surface Temperature"
"218","Earth Science","Oceans","Ocean Winds","Surface Winds","Ancillary"
"219","Earth Science","Oceans","Ocean Winds","Surface Winds","Ancillary"
"45","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"45","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"45","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"45","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"47","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"47","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"47","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"47","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"47","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"47","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"48","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"48","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"48","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"48","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"48","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"48","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"49","Earth Science","Oceans","Bathymetry/Seafloor Topography","Bathymetry",""
"49","Earth Science","Oceans","Ocean Circulation","Eddies",""
"49","Earth Science","Oceans","Ocean Circulation","Gyres",""
"49","Earth Science","Oceans","Ocean Circulation","Ocean Currents",""
"49","Earth Science","Oceans","Ocean Waves","Significant Wave Height",""
"49","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height",""
"50","Earth Science","Oceans","Bathymetry/Seafloor Topography","Bathymetry",""
"50","Earth Science","Oceans","Ocean Circulation","Eddies",""
"50","Earth Science","Oceans","Ocean Circulation","Gyres",""
"50","Earth Science","Oceans","Ocean Circulation","Ocean Currents",""
"50","Earth Science","Oceans","Ocean Waves","Significant Wave Height",""
"50","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height",""
"51","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"51","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"51","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"51","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"51","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"51","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"52","Earth Science","Oceans","Bathymetry/Seafloor Topography","Bathymetry",""
"52","Earth Science","Oceans","Ocean Circulation","Eddies",""
"52","Earth Science","Oceans","Ocean Circulation","Gyres",""
"52","Earth Science","Oceans","Ocean Circulation","Ocean Currents",""
"52","Earth Science","Oceans","Ocean Waves","Significant Wave Height",""
"52","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height",""
"53","Earth Science","Oceans","Bathymetry/Seafloor Topography","Bathymetry",""
"53","Earth Science","Oceans","Ocean Circulation","Eddies",""
"53","Earth Science","Oceans","Ocean Circulation","Gyres",""
"53","Earth Science","Oceans","Ocean Circulation","Ocean Currents",""
"53","Earth Science","Oceans","Ocean Waves","Significant Wave Height",""
"53","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height",""
"55","Earth Science","Oceans","Ocean Waves","Significant Wave Height","none"
"55","Earth Science","Oceans","Ocean Waves","Significant Wave Height","none"
"55","Earth Science","Oceans","Ocean Waves","Significant Wave Height","none"
"55","Earth Science","Oceans","Ocean Waves","Significant Wave Height","none"
"55","Earth Science","Oceans","Ocean Waves","Significant Wave Height","none"
"55","Earth Science","Oceans","Ocean Waves","Significant Wave Height","none"
"57","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"57","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"57","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"57","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"57","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"57","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"58","Earth Science","Oceans","Bathymetry/Seafloor Topography","Bathymetry",""
"58","Earth Science","Oceans","Ocean Circulation","Eddies",""
"58","Earth Science","Oceans","Ocean Circulation","Gyres",""
"58","Earth Science","Oceans","Ocean Circulation","Ocean Currents",""
"58","Earth Science","Oceans","Ocean Waves","Significant Wave Height",""
"58","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height",""
"59","Earth Science","Oceans","Bathymetry/Seafloor Topography","Bathymetry",""
"59","Earth Science","Oceans","Ocean Circulation","Eddies",""
"59","Earth Science","Oceans","Ocean Circulation","Gyres",""
"59","Earth Science","Oceans","Ocean Circulation","Ocean Currents",""
"59","Earth Science","Oceans","Ocean Waves","Significant Wave Height",""
"59","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height",""
"60","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"60","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"60","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"60","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"60","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
"60","Earth Science","Oceans","Sea Surface Topography","Sea Surface Height","none"
