"DATASET_ID","DATA_CLASS","DATA_FREQUENCY","DATA_VOLUME","DATA_DURATION","ACCESS_TYPE","BASE_PATH_APPEND_TYPE","DATA_FORMAT","COMPRESS_TYPE","CHECKSUM_TYPE","SPATIAL_TYPE","ACCESS_CONSTRAINT","USE_CONSTRAINT"
"35","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","ORACLE","None","None"
"36","ARCHIVE-DIST","","","","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","ORACLE","None","None"
"37","ARCHIVE-DIST","","","","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","ORACLE","None","None"
"38","ROLLING-STORE","3","4","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"39","ROLLING-STORE","","","90","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","BACKTRACK","None","None"
"40","ARCHIVE-DIST","12","2","90","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","ORACLE","None","None"
"41","ROLLING-STORE","","","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"42","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","A Met Office data license application form: http://www.metoffice.gov.uk/corporate/legal/data_lic_form.html must be completed and submitted before using the data. This only needs to be completed once for each user.","These data may be used for pure academic research only, with no commercial or other application and all usage must meet the Met Office Standard Terms and Conditions http://www.metoffice.gov.uk/corporate/legal/tandc.html The data may be used for a maximum period of 5 years. Reproduction of the data is permitted provided the following copyright statement is included: (C) Crown Copyright 2007, published by the Met Office."
"43","ARCHIVE-DIST","24","4","10","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","ORACLE","None","None"
"44","ROLLING-STORE","2","5","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None (ESA category-1 data agreement is required to access full ENVISAT AATSR data products)"
"218","ARCHIVE-DIST","3","4","","PREVIEW","YEAR-DOY","NETCDF","GZIP","MD5","Level 2 Swath","User registration required with valid email address","All users publishing with PO.DAAC data from our providers and partners, please add a citation as outlined here: http://podaac.jpl.nasa.gov/WEB_INFO/citations.html"
"219","ARCHIVE-DIST","3","4","","PREVIEW","YEAR-DOY","NETCDF","GZIP","MD5","Level 2 Swath","User registration required with valid email address","All users publishing with PO.DAAC data from our providers and partners, please add a citation as outlined here: http://podaac.jpl.nasa.gov/WEB_INFO/citations.html"
"45","ARCHIVE-DIST","","","","OPEN","CYCLE","RAW","NONE","MD5","BACKTRACK","none","none"
"46","ARCHIVE-DIST","","","","CONTROLLED","CYCLE","RAW","NONE","MD5","BACTRACK","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"47","ARCHIVE-DIST","","","","OPEN","CYCLE","RAW","NONE","MD5","BACKTRACK","none","none"
"48","ARCHIVE-DIST","","","","OPEN","CYCLE","RAW","NONE","MD5","BACKTRACK","none","none"
"49","DIST-ONLY","","","","OPEN","CYCLE","NETCDF","NONE","MD5","BACKTRACK","TBD","TBD"
"50","DIST-ONLY","","","","OPEN","CYCLE","NETCDF","NONE","MD5","BACKTRACK","TBD","TBD"
"51","ARCHIVE-DIST","","","","OPEN","CYCLE","RAW","NONE","MD5","BACKTRACK","none","none"
"52","DIST-ONLY","","","","OPEN","CYCLE","NETCDF","NONE","MD5","BACKTRACK","TBD","TBD"
"53","DIST-ONLY","","","","OPEN","CYCLE","NETCDF","NONE","MD5","BACKTRACK","TBD","TBD"
"54","ARCHIVE-DIST","","","","CONTROLLED","CYCLE","RAW","NONE","MD5","NONE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"55","ARCHIVE-DIST","","","","OPEN","CYCLE","RAW","NONE","MD5","BACKTRACK","none","none"
"56","ARCHIVE-DIST","","","","CONTROLLED","CYCLE","RAW","NONE","MD5","BACKTRACK","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"57","ARCHIVE-DIST","","","","SHARED","CYCLE","RAW","NONE","MD5","BACKTRACK","none","none"
"58","ARCHIVE-DIST","","","","PRIVATE","CYCLE","NETCDF","NONE","MD5","BACKTRACK","TBD","TBD"
"59","ARCHIVE-DIST","","","","RESTRICTED","CYCLE","NETCDF","NONE","MD5","BACKTRACK","TBD","TBD"
"60","ARCHIVE-DIST","","","","OPEN","CYCLE","RAW","NONE","MD5","BACKTRACK","none","none"
"61","ARCHIVE-DIST","","","","CONTROLLED","CYCLE","RAW","NONE","MD5","BACKTRACK","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"62","ARCHIVE-ONLY","","","","PRIVATE","YEAR-DOY","HDF","NONE","MD5","NONE","TBD","TBD"
"63","ARCHIVE-ONLY","","","","PRIVATE","YEAR-DOY","RAW","NONE","MD5","NONE","TBD","TBD"
"64","ARCHIVE-ONLY","","","","PRIVATE","YEAR-DOY","RAW","NONE","MD5","NONE","TBD","TBD"
"65","ARCHIVE-ONLY","","","","PRIVATE","YEAR-DOY","RAW","NONE","MD5","NONE","TBD","TBD"
"66","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","RAW","NONE","MD5","NONE","TBD","TBD"
"67","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","HDF","NONE","MD5","BACKTRACK","TBD","TBD"
"68","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","HDF","NONE","MD5","BACKTRACK","TBD","TBD"
"69","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","HDF","NONE","MD5","BACKTRACK","TBD","TBD"
"70","ROLLING-STORE","","","180","RESTRICTED","YEAR-DOY","HDF","NONE","MD5","BACKTRACK","TBD","TBD"
"71","ARCHIVE-ONLY","","","","PRIVATE","YEAR-DOY","HDF","NONE","MD5","NONE","TBD","TBD"
"72","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","HDF","NONE","MD5","BACKTRACK","TBD","TBD"
"73","ARCHIVE-ONLY","","","","PRIVATE","YEAR-DOY","RAW","NONE","MD5","NONE","TBD","TBD"
"74","ARCHIVE-ONLY","","","","CONTROLLED","CYCLE","RAW","GZIP","MD5","NONE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"75","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","GZIP","MD5","NONE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"76","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","GZIP","MD5","NONE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"77","ARCHIVE-DIST","","","","CONTROLLED","BATCH","HDF","GZIP","MD5","BACKTRACK","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"78","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","HDF","GZIP","MD5","BACKTRACK","UNKNOWN","UNKNOWN"
"79","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","RAW","GZIP","MD5","NONE","UNKNOWN","UNKNOWN"
"80","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","HDF","GZIP","MD5","BACKTRACK","UNKNOWN","UNKNOWN"
"81","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","RAW","GZIP","MD5","NONE","UNKNOWN","UNKNOWN"
"82","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","HDF","GZIP","MD5","BACKTRACK","UNKNOWN","UNKNOWN"
"83","ARCHIVE-DIST","","","","RESTRICTED","YEAR-DOY","RAW","GZIP","MD5","NONE","UNKNOWN","UNKNOWN"
"84","ARCHIVE-DIST","","","","PUBLIC","YEAR-DOY","HDF","GZIP","MD5","BACKTRACK","UNKNOWN","UNKNOWN"
"85","ARCHIVE-DIST","","","","PUBLIC","YEAR-DOY","RAW","GZIP","MD5","NONE","UNKNOWN","UNKNOWN"
"86","ARCHIVE-DIST","","","","PUBLIC","YEAR-DOY","HDF","GZIP","MD5","BACKTRACK","UNKNOWN","UNKNOWN"
"87","ARCHIVE-DIST","","","","PUBLIC","YEAR-DOY","RAW","GZIP","MD5","NONE","UNKNOWN","UNKNOWN"
"88","ARCHIVE-DIST","","","","OPEN","YEAR","HDF","GZIP","MD5","ORACLE","none","none"
"170","ARCHIVE-DIST","","","","OPEN","YEAR","HDF","GZIP","MD5","ORACLE","none","none"
"120","ARCHIVE-DIST","","","","OPEN","none","RAW","ZIP","MD5","BACKTRACK","none","none"
"123","ARCHIVE-DIST","","","","CONTROLLED","none","ASCII","none","MD5","none","none","none"
"122","ARCHIVE-DIST","","","","OPEN","none","ASCII","none","MD5","ORACLE","none","none"
"107","ARCHIVE-DIST","","","","OPEN","BATCH","RAW","GZIP","MD5","BACKTRACK","none","none"
"121","ARCHIVE-DIST","","","","OPEN","none","ASCII","ZIP","MD5","ORACLE","none","none"
"89","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","BACKTRACK","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"90","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","BACKTRACK","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"91","ARCHIVE-ONLY","","","","SHARED","BATCH","RAW","none","MD5","BACKTRACK","none","none"
"92","ARCHIVE-DIST","","","","CONTROLLED","BATCH","RAW","none","MD5","BACKTRACK","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"93","ARCHIVE-DIST","","","","CONTROLLED","BATCH","ASCII","none","MD5","BACKTRACK","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"94","ARCHIVE-DIST","","","","CONTROLLED","BATCH","ASCII","none","MD5","BACKTRACK","none","none"
"119","ARCHIVE-DIST","","","","OPEN","none","RAW","ZIP","MD5","BACKTRACK","none","none"
"110","ARCHIVE-DIST","","","","OPEN","none","RAW","none","MD5","BACKTRACK","none","none"
"118","ARCHIVE-DIST","","","","OPEN","none","RAW","ZIP","MD5","BACKTRACK","none","none"
"125","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"135","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"142","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"136","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"143","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"126","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/","none"
"144","ARCHIVE-DIST","","","","SHARED","BATCH","RAW","none","MD5","ORACLE","Shared at the discretion of the Mission","none"
"137","ARCHIVE-DIST","","","","SHARED","BATCH","RAW","none","MD5","ORACLE","Shared at the discretion of the Mission","none"
"127","ARCHIVE-DIST","","","","SHARED","BATCH","RAW","none","MD5","ORACLE","Shared at the discretion of the Mission","none"
"145","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","HDF","none","MD5","BACKTRACK","Mission Controlled","none"
"138","none","","","","none","none","none","none","none","none","none","none"
"128","ARCHIVE-DIST","","","","OPEN","BATCH","HDF","ZIP","MD5","BACKTRACK","none","none"
"139","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","BACKTRACK","Mission Controlled","none"
"146","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","BACKTRACK","Mission Controlled","none"
"129","ARCHIVE-DIST","","","","OPEN","BATCH","HDF","ZIP","MD5","BACKTRACK","none","none"
"140","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","ORACLE","Mission Controlled","none"
"130","ARCHIVE-DIST","","","","OPEN","BATCH","HDF","ZIP","MD5","ORACLE","none","none"
"147","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","ORACLE","Mission Controlled","none"
"149","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","none","MD5","BACKTRACK","Mission Controlled","none"
"134","ARCHIVE-DIST","","","","OPEN","BATCH","RAW","ZIP","MD5","BACKTRACK","none","none"
"177","ARCHIVE-DIST","","","","OPEN","BATCH","RAW","ZIP","MD5","BACKTRACK","none","none"
"181","ARCHIVE-ONLY","","","","RETIRED","none","RAW","none","none","none","shared at discretion of PO.DAAC","none"
"151","ARCHIVE-ONLY","","","","CONTROLLED","CYCLE","RAW","none","MD5","BACKTRACK","No public distribution. No distribution agreement with ESA.","none"
"182","ARCHIVE-DIST","","","","OPEN","none","ASCII","ZIP","none","none","none","none"
"150","ARCHIVE-ONLY","","","","RETIRED","YEAR","RAW","GZIP","MD5","ORACLE","Shared at the discretion of PO.DAAC","none"
